IBRC_Geo_ID,State,District Name,Year,Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population
6500001                             ,AK,Kenai Peninsula Economic Development District,2000,49618,3272,11536,3432,14636,13044,3698,14808,26814,7996,25831,23787
6500001                             ,AK,Kenai Peninsula Economic Development District,2001,49986,3207,11261,3770,14117,13740,3891,14468,26992,8526,26065,23921
6500001                             ,AK,Kenai Peninsula Economic Development District,2002,50804,3217,11123,4099,13835,14506,4024,14340,27285,9179,26589,24215
6500001                             ,AK,Kenai Peninsula Economic Development District,2003,50963,3185,10874,4278,13405,15077,4144,14059,27292,9612,26657,24306
6500001                             ,AK,Kenai Peninsula Economic Development District,2004,51404,3181,10592,4447,13111,15718,4355,13773,27314,10317,26801,24603
6500001                             ,AK,Kenai Peninsula Economic Development District,2005,51590,3086,10338,4545,12765,16345,4511,13424,27166,11000,27007,24583
6500001                             ,AK,Kenai Peninsula Economic Development District,2006,52253,3115,10205,4554,12604,17042,4733,13320,27233,11700,27319,24934
6500001                             ,AK,Kenai Peninsula Economic Development District,2007,53272,3210,10102,4516,12810,17546,5088,13312,27403,12557,27907,25365
6500001                             ,AK,Kenai Peninsula Economic Development District,2008,53655,3182,9826,4593,12794,17799,5461,13008,27245,13402,28127,25528
6500001                             ,AK,Kenai Peninsula Economic Development District,2009,54796,3418,9703,4531,12911,18270,5963,13121,27260,14415,28601,26195
6500001                             ,AK,Kenai Peninsula Economic Development District,2010,55554,3469,9657,4595,13192,18304,6337,13126,27236,15192,29117,26437
6500001                             ,AK,Kenai Peninsula Economic Development District,2011,56311,3583,9597,4687,13357,18423,6664,13180,27227,15904,29513,26798
6500001                             ,AK,Kenai Peninsula Economic Development District,2012,56920,3640,9514,4820,13495,18255,7196,13154,27172,16594,29808,27112
6500001                             ,AK,Kenai Peninsula Economic Development District,2013,57039,3628,9584,4813,13525,17873,7616,13212,26743,17084,29790,27249
6500001                             ,AK,Kenai Peninsula Economic Development District,2014,57594,3657,9625,4942,13709,17585,8076,13282,26714,17598,30132,27462
6500001                             ,AK,Kenai Peninsula Economic Development District,2015,58075,3635,9736,4867,13927,17337,8573,13371,26614,18090,30423,27652
6500001                             ,AK,Kenai Peninsula Economic Development District,2016,58515,3671,9696,4622,14253,17223,9050,13367,26470,18678,30594,27921
6500001                             ,AK,Kenai Peninsula Economic Development District,2017,58594,3570,9717,4439,14289,16915,9664,13287,26095,19212,30565,28029
