IBRC_Geo_ID,Metrofips/Microfips,Description,Year,Geography,Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population
210100,10100,"Aberdeen, SD",2000,Micro,39825,2510,7010,4383,10380,8794,6748,9520,20005,10300,19245,20580
210100,10100,"Aberdeen, SD",2001,Micro,39602,2492,7003,4300,10107,9060,6640,9495,19898,10209,19093,20509
210100,10100,"Aberdeen, SD",2002,Micro,39417,2419,6922,4324,9856,9285,6611,9341,19784,10292,19058,20359
210100,10100,"Aberdeen, SD",2003,Micro,39419,2445,6858,4345,9637,9491,6643,9303,19652,10464,19123,20296
210100,10100,"Aberdeen, SD",2004,Micro,39440,2479,6808,4257,9509,9694,6693,9287,19478,10675,19126,20314
210100,10100,"Aberdeen, SD",2005,Micro,39569,2492,6785,4308,9387,9919,6678,9277,19472,10820,19203,20366
210100,10100,"Aberdeen, SD",2006,Micro,39604,2506,6731,4259,9211,10151,6746,9237,19362,11005,19253,20351
210100,10100,"Aberdeen, SD",2007,Micro,39847,2664,6661,4159,9237,10429,6697,9325,19379,11143,19385,20462
210100,10100,"Aberdeen, SD",2008,Micro,39915,2680,6642,4155,9129,10647,6662,9322,19285,11308,19445,20470
210100,10100,"Aberdeen, SD",2009,Micro,40219,2700,6675,4094,9215,10801,6734,9375,19277,11567,19641,20578
210100,10100,"Aberdeen, SD",2010,Micro,40721,2749,6742,4133,9397,10960,6740,9491,19436,11794,19912,20809
210100,10100,"Aberdeen, SD",2011,Micro,40974,2810,6757,4055,9574,11096,6682,9567,19427,11980,20075,20899
210100,10100,"Aberdeen, SD",2012,Micro,41591,2750,6869,4107,9871,11241,6753,9619,19717,12255,20412,21179
210100,10100,"Aberdeen, SD",2013,Micro,42175,2830,7077,4103,10127,11187,6851,9907,19840,12428,20771,21404
210100,10100,"Aberdeen, SD",2014,Micro,42250,2834,7118,4047,10189,11067,6995,9952,19702,12596,20888,21362
210100,10100,"Aberdeen, SD",2015,Micro,42432,2801,7244,4003,10220,11079,7085,10045,19609,12778,20931,21501
210100,10100,"Aberdeen, SD",2016,Micro,42821,2835,7407,4012,10367,11022,7178,10242,19613,12966,21075,21746
210100,10100,"Aberdeen, SD",2017,Micro,43247,2908,7444,4128,10599,10827,7341,10352,19728,13167,21325,21922
210100,10100,"Aberdeen, SD",2018,Micro,42956,2840,7389,4012,10630,10611,7474,10229,19433,13294,21161,21795
210100,10100,"Aberdeen, SD",2019,Micro,42740,2763,7307,4023,10578,10368,7701,10070,19195,13475,21099,21641
210100,10100,"Aberdeen, SD",2020,Micro,42216,2715,7416,3841,10427,10245,7572,10131,18806,13276,20969,21247
210100,10100,"Aberdeen, SD",2021,Micro,42152,2579,7458,3858,10491,10080,7686,10037,18814,13303,20940,21212
210100,10100,"Aberdeen, SD",2022,Micro,42018,2453,7438,3818,10490,9959,7860,9891,18736,13368,20898,21120
210100,10100,"Aberdeen, SD",2023,Micro,41717,2370,7349,3704,10485,9767,8042,9719,18609,13381,20790,20927
210100,10100,"Aberdeen, SD",2024,Micro,41522,2234,7284,3673,10401,9676,8254,9518,18539,NULL,20690,20832
210140,10140,"Aberdeen, WA",2000,Micro,67075,4167,13039,5352,17384,16843,10290,17206,32658,17211,33371,33704
210140,10140,"Aberdeen, WA",2001,Micro,67896,4043,12807,5646,17339,17468,10593,16850,33298,17748,34044,33852
210140,10140,"Aberdeen, WA",2002,Micro,68264,3928,12584,5830,17159,18136,10627,16512,33500,18252,34541,33723
210140,10140,"Aberdeen, WA",2003,Micro,69065,4003,12343,6077,17088,18843,10711,16346,33970,18749,35071,33994
210140,10140,"Aberdeen, WA",2004,Micro,69775,3982,12310,6113,17198,19510,10662,16292,34261,19222,35454,34321
210140,10140,"Aberdeen, WA",2005,Micro,70423,4029,12171,6172,17143,20187,10721,16200,34337,19886,35928,34495
210140,10140,"Aberdeen, WA",2006,Micro,71256,4123,12071,6176,17123,20869,10894,16194,34534,20528,36485,34771
210140,10140,"Aberdeen, WA",2007,Micro,71827,4245,11960,6191,17088,21218,11125,16205,34468,21154,36771,35056
210140,10140,"Aberdeen, WA",2008,Micro,72027,4247,11810,6180,17069,21411,11310,16057,34367,21603,36881,35146
210140,10140,"Aberdeen, WA",2009,Micro,72468,4288,11543,6347,17150,21513,11627,15831,34480,22157,37221,35247
210140,10140,"Aberdeen, WA",2010,Micro,72849,4276,11458,6210,17153,21834,11918,15734,34206,22909,37358,35491
210140,10140,"Aberdeen, WA",2011,Micro,72374,4266,11243,6019,16962,21724,12160,15509,33475,23390,37169,35205
210140,10140,"Aberdeen, WA",2012,Micro,71785,4173,11061,5814,16806,21251,12680,15234,32668,23883,36852,34933
210140,10140,"Aberdeen, WA",2013,Micro,71059,4039,10964,5674,16514,20815,13053,15003,31892,24164,36491,34568
210140,10140,"Aberdeen, WA",2014,Micro,70796,3992,10940,5482,16401,20472,13509,14932,31295,24569,36420,34376
