State,Sex,Total_Deaths,Population,Death_Rate_Per_100k
Alabama,Female,130,655704.2252863753,19.82601224557051
Alabama,Male,171,618708.7747136247,27.638205079465536
Arizona,Female,105,873133.2885140118,12.025655347386861
Arizona,Male,189,869698.7114859882,21.73166379389824
Arkansas,Female,57,373758.7812428428,15.250477810972235
Arkansas,Male,103,364383.2187571572,28.266943892562796
California,Female,590,4784590.800149586,12.331253071455018
California,Male,863,4768325.199850413,18.098597805935576
Colorado,Female,52,687590.3326921229,7.562642685275164
Colorado,Male,124,705446.667307877,17.577515884114717
Connecticut,Female,53,485675.96427472465,10.912625680199469
Connecticut,Male,81,467716.0357252754,17.31820032092664
Florida,Female,449,2969083.348539533,15.122512482543117
Florida,Male,672,2869020.6514604664,23.42262679977296
Georgia,Female,198,1412125.441290163,14.021417234654512
Georgia,Male,319,1342049.558709837,23.7696140153473
Idaho,Male,16,227093.82989789572,7.045545890521906
Illinois,Female,192,1592089.9528383338,12.05962010235086
Illinois,Male,305,1555914.0471616662,19.602625257891845
Indiana,Female,125,838807.2763335465,14.902112025825408
Indiana,Male,221,825568.7236664534,26.76942496301356
Iowa,Female,23,377598.9052148046,6.091119355051095
Iowa,Male,79,380194.0947851954,20.778860346222352
Kansas,Female,19,337941.0682188718,5.622282044659459
Kansas,Male,64,340130.9317811282,18.816283383830417
Kentucky,Female,118,573413.8535637648,20.578505257002508
Kentucky,Male,187,563815.1464362353,33.166898970698156
Louisiana,Female,130,557916.6592169127,23.300971184919796
Louisiana,Male,176,533728.3407830873,32.975577002670015
Maryland,Female,110,815996.0747304755,13.480457002974324
Maryland,Male,144,772377.9252695245,18.643722883425312
Massachusetts,Female,79,918723.4087817454,8.598888331881774
Massachusetts,Male,131,877912.5912182548,14.921758875586344
Michigan,Female,175,1280018.7643064472,13.671674578522312
Michigan,Male,272,1257087.2356935528,21.63732096523387
Minnesota,Female,64,692728.2519947686,9.238832083967512
Minnesota,Male,125,695754.7480052313,17.96610089379658
Mississippi,Female,64,370296.4091463224,17.28345142410237
Mississippi,Male,145,348403.5908536776,41.61839998397061
Missouri,Female,117,764777.2890952021,15.298571449267426
Missouri,Male,174,744862.7109047979,23.36000949606393
Montana,Male,17,135607.01093695583,12.536224994962362
Nevada,Female,41,396076.76565776794,10.351528682050047
Nevada,Male,57,401369.23434223206,14.201387431553435
New Jersey,Female,159,1242250.0511906531,12.799355479808922
New Jersey,Male,189,1203846.9488093469,15.69967014386078
New Mexico,Male,38,245941.3199007715,15.45084006840804
New York,Female,308,2548760.292335852,12.084306277297207
New York,Male,444,2433109.707664148,18.24825237437617
North Carolina,Female,172,1396245.578050432,12.318749846295836
North Carolina,Male,278,1333383.4219495682,20.84921676868686
Ohio,Female,227,1479893.3035818404,15.338943655639467
Ohio,Male,344,1440597.6964181599,23.87897751435441
Oklahoma,Female,70,469338.6350095795,14.91460424914119
Oklahoma,Male,138,465117.3649904205,29.669930728740308
Oregon,Female,56,517336.53879195126,10.824675197071398
Oregon,Male,99,513361.4612080487,19.28465759136495
Pennsylvania,Female,234,1655959.3631997493,14.130781539702184
Pennsylvania,Male,333,1610408.636800251,20.67798150049937
South Carolina,Female,82,691714.9508466304,11.854594135869899
South Carolina,Male,170,654025.0491533697,25.99288822653867
Tennessee,Female,173,908336.2994332642,19.04580936685448
Tennessee,Male,262,874247.7005667358,29.968623289504457
Texas,Female,523,3560009.5529248836,14.690971814115112
Texas,Male,836,3545995.4470751164,23.575890394601814
Utah,Female,16,343959.4414289872,4.651711240583379
Utah,Male,40,353366.55857101287,11.319690284716504
Virginia,Female,157,1102961.477585969,14.234404663309089
Virginia,Male,284,1076522.522414031,26.381240901783332
Washington,Female,118,922959.9574900856,12.784953349535485
Washington,Male,180,936097.0425099144,19.228775631784305
West Virginia,Male,39,228543.7297569324,17.064567923818533
Wisconsin,Female,73,744699.7557084212,9.802608291519613
Wisconsin,Male,144,747027.2442915787,19.276405392223435
