State,Year,Total_Population,Pop_45_64,Pop_65_Plus,Male_Population,Female_Population
Alabama,2023,5117673,1274413,929867,2484555,2633118
Alaska,2023,736510,168371,105530,386970,349540
Arizona,2023,7473027,1742832,1440112,3729150,3743877
Arkansas,2023,3069463,738142,549766,1515238,1554225
California,2023,39198693,9552916,6318754,19565975,19632718
Colorado,2023,5901339,1393037,944033,2988492,2912847
Connecticut,2023,3643023,953392,691131,1787198,1855825
Delaware,2023,1036423,259557,219261,501443,534980
District of Columbia,2023,687324,136692,88946,325785,361539
Florida,2023,22904868,5838104,4935427,11256144,11648724
Georgia,2023,11064432,2754175,1697554,5391457,5672975
Hawaii,2023,1441387,345889,303212,722690,718697
Idaho,2023,1971122,451504,341455,991419,979703
Illinois,2023,12642259,3148004,2208784,6248489,6393770
Indiana,2023,6880131,1664376,1179592,3412703,3467428
Iowa,2023,3218414,757793,596704,1614718,1603696
Kansas,2023,2951500,678072,513675,1480516,1470984
Kentucky,2023,4550595,1137229,805637,2256093,2294502
Louisiana,2023,4588071,1091645,793190,2243205,2344866
Maine,2023,1399646,373583,321112,689387,710259
Maryland,2023,6217062,1588374,1066264,3023168,3193894
Massachusetts,2023,7066568,1796636,1296087,3453025,3613543
Michigan,2023,10083356,2537106,1928114,4996109,5087247
Minnesota,2023,5753048,1388483,1023662,2882794,2870254
Mississippi,2023,2943172,718700,517325,1426759,1516413
Missouri,2023,6208038,1509640,1136844,3063072,3144966
Montana,2023,1131302,267567,232143,573361,557941
Nebraska,2023,1987864,451426,340009,999645,988219
Nevada,2023,3214363,797446,556961,1617848,1596515
New Hampshire,2023,1402199,383159,291851,699593,702606
New Jersey,2023,9379642,2446097,1650337,4616192,4763450
New Mexico,2023,2121164,494503,419701,1054962,1066202
New York,2023,19737367,4981870,3644454,9639589,10097778
North Carolina,2023,10881189,2729629,1908545,5315300,5565889
North Dakota,2023,789047,166753,133833,404725,384322
Ohio,2023,11824034,2920491,2208882,5832470,5991564
Oklahoma,2023,4063882,934456,674038,2022762,2041120
Oregon,2023,4253653,1030698,831772,2118624,2135029
Pennsylvania,2023,13017721,3266368,2596711,6418092,6599629
Rhode Island,2023,1103429,280025,211916,540964,562465
South Carolina,2023,5387830,1345740,1036937,2618467,2769363
South Dakota,2023,918305,211094,168883,466940,451365
Tennessee,2023,7148304,1782584,1240957,3505803,3642501
Texas,2023,30727890,7106005,4203591,15333645,15394245
Utah,2023,3443222,697326,417649,1744836,1698386
Vermont,2023,648708,168169,143485,322013,326695
Virginia,2023,8734685,2179484,1498899,4314363,4420322
Washington,2023,7857320,1859057,1339309,3956422,3900898
West Virginia,2023,1770495,457776,380638,883916,886579
Wisconsin,2023,5930405,1491727,1131095,2969829,2960576
Wyoming,2023,585067,138204,112073,299180,285887
